epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.984,4.734,8.09455,1.75483,0.00108,0.00197,0.00055,7e-05,5.47868,6.55887,1.63665,0.0946,0.0006,0.0006
2,501.892,4.94079,3.45366,1.19487,0,0,0,0,0,0,0,0.0882871,0.00128713,0.00128713
3,773.419,4.39319,2.96096,1.08792,0,0,0,0,0,0,0,0.0819604,0.0019604,0.0019604
4,1061.14,4.40597,4.62988,1.07196,0,0,0,0,0,0,0,0.0756198,0.00261981,0.00261981
5,1331.66,4.52423,3.49665,1.05182,0,0,0,0,0,0,0,0.0692654,0.00326536,0.00326536
6,1597.26,4.6147,2.98837,1.01001,0,0,0,0,0,0,0,0.062897,0.00389705,0.00389705
7,1868.4,4.45269,2.95472,1.04858,0,0,0,0,0,0,0,0.0565149,0.00451488,0.00451488
8,2129.24,4.39534,2.99511,1.0534,0,0,0,0,0,0,0,0.0501188,0.00511885,0.00511885
9,2408.19,4.61377,2.99143,1.01112,0,0,0,0,0,0,0,0.043709,0.00570896,0.00570896
10,2720.32,4.52048,3.14749,1.03069,0,0,0,0,0,0,0,0.0372852,0.00628521,0.00628521
11,3026.83,4.40223,3.99837,1.06643,0,0,0,0,0,0,0,0.0308476,0.0068476,0.0068476
12,3325.14,4.63991,2.88456,1.06887,0,0,0,0,0,0,0,0.0243961,0.00739613,0.00739613
13,3646.9,4.67304,2.77811,1.03237,0,0,0,0,0,0,0,0.0179308,0.0079308,0.0079308
14,3972.83,4.44797,2.85936,0.99559,0,0,0,0,0,0,0,0.0114516,0.00845161,0.00845161
15,4267.39,4.43998,3.19781,0.99587,0,0,0,0,5.71717,114.352,1.19078,0.008614,0.008614,0.008614
16,4584.84,4.56814,3.01908,0.99172,0,0,0,0,5.11797,7.08226,1.0852,0.008515,0.008515,0.008515
17,4882.67,4.35004,2.98163,1.04566,0.0051,0.00364,0.00241,0.00024,4.67794,4.73496,1.04711,0.008416,0.008416,0.008416
